"","subject","session","encoding","mean_fd","valid_time_sec"
"300",115320,"REST2","RL",0.171889384248151,849.6
"301",115724,"REST1","LR",0.0638640297144309,864
"302",115724,"REST2","LR",0.0644027637691319,864
"303",115724,"REST1","RL",0.0711361317468501,858.24
"304",115724,"REST2","RL",0.0632777199336691,864
"305",115825,"REST1","LR",0.143325488208771,859.68
"306",115825,"REST2","LR",0.186937122667601,851.76
"307",115825,"REST1","RL",0.119377167468155,858.96
"308",115825,"REST2","RL",0.156307955621005,864
"309",116120,"REST1","RL",0.282305037523616,796.32
"310",116221,"REST1","LR",0.11672731966212,861.84
"311",116221,"REST2","LR",0.180195596776104,861.12
"312",116221,"REST1","RL",0.115882759173838,863.28
"313",116423,"REST1","LR",0.0807904430492977,862.56
"314",116423,"REST1","RL",0.165935700618464,833.04
"315",116524,"REST1","LR",0.199897128809352,835.2
"316",116524,"REST2","LR",0.316444857123862,752.4
"317",116524,"REST1","RL",0.207739469597819,833.76
"318",116524,"REST2","RL",0.371932774394151,813.6
"319",116726,"REST1","LR",0.120914676122111,864
"320",116726,"REST2","LR",0.169968486670665,829.44
"321",116726,"REST1","RL",0.117622821674476,858.96
"322",116726,"REST2","RL",0.1785654944512,846.72
"323",117021,"REST1","LR",0.192400628084081,858.96
"324",117021,"REST2","LR",0.132362733591192,864
"325",117021,"REST1","RL",0.155645897392398,863.28
"326",117021,"REST2","RL",0.152107404754479,864
"327",117122,"REST1","LR",0.182391985151305,831.6
"328",117122,"REST2","LR",0.115463016383572,856.08
"329",117122,"REST1","RL",0.118218571875943,856.8
"330",117122,"REST2","RL",0.163939903142716,847.44
"331",117324,"REST1","LR",0.159461444472662,858.96
"332",117324,"REST2","LR",0.0954666548409531,861.12
"333",117324,"REST1","RL",0.0928140203301459,864
"334",117324,"REST2","RL",0.155955699206444,846.72
"335",117728,"REST1","LR",0.242862204346867,822.96
"336",117728,"REST1","RL",0.2586572845518,789.84
"337",117930,"REST1","LR",0.187539021290609,848.88
"338",117930,"REST2","LR",0.228603705568236,843.84
"339",117930,"REST1","RL",0.28373183672089,812.16
"340",117930,"REST2","RL",0.222467991024247,853.2
"341",118023,"REST1","LR",0.0964319415873694,864
"342",118023,"REST2","LR",0.0929615821885609,859.68
"343",118023,"REST1","RL",0.0785699290224045,864
"344",118023,"REST2","RL",0.101314531276642,861.12
"345",118124,"REST1","LR",0.199502281447726,828.72
"346",118124,"REST2","LR",0.110740757369869,863.28
"347",118124,"REST1","RL",0.283322418956146,757.44
"348",118124,"REST2","RL",0.126826351647407,856.8
"349",118225,"REST1","LR",0.0962076884852126,856.08
"350",118225,"REST2","LR",0.098576665758793,860.4
"351",118225,"REST1","RL",0.0827763669532014,863.28
"352",118225,"REST2","RL",0.0817597960388407,861.12
"353",118528,"REST1","LR",0.0937217016527407,861.12
"354",118528,"REST2","LR",0.0883440957995256,861.84
"355",118528,"REST1","RL",0.0819997629281733,863.28
"356",118528,"REST2","RL",0.101785348504339,859.68
"357",118730,"REST1","LR",0.122039737993947,861.12
"358",118730,"REST2","LR",0.179160631648692,848.16
"359",118730,"REST1","RL",0.100806251287564,864
"360",118730,"REST2","RL",0.203269081549306,832.32
"361",118831,"REST1","LR",0.209919656327331,811.44
"362",118831,"REST2","LR",0.0832182784651076,864
"363",118831,"REST1","RL",0.0840266869032575,864
"364",118831,"REST2","RL",0.07706735693247,864
"365",118932,"REST1","LR",0.139797980125875,833.04
"366",118932,"REST2","LR",0.148224481421967,853.2
"367",118932,"REST1","RL",0.135787168894041,844.56
"368",118932,"REST2","RL",0.143406391442105,843.84
"369",119025,"REST1","LR",0.154462712127399,835.92
"370",119025,"REST2","LR",0.187992132043787,857.52
"371",119025,"REST1","RL",0.148001927193354,843.84
"372",119025,"REST2","RL",0.147054514343147,856.8
"373",119126,"REST1","LR",0.130061024025325,860.4
"374",119126,"REST2","LR",0.105005831915227,861.12
"375",119126,"REST1","RL",0.127546035286163,862.56
"376",119126,"REST2","RL",0.11383690119323,852.48
"377",119732,"REST1","LR",0.154998582692137,830.88
"378",119732,"REST2","LR",0.14137862589591,651.6
"379",119732,"REST1","RL",0.137700949008468,836.64
"380",119732,"REST2","RL",0.18072018417607,669.6
"381",119833,"REST1","LR",0.118667365166098,757.44
"382",119833,"REST2","LR",0.10348643272459,863.28
"383",119833,"REST1","RL",0.0896529469714335,861.84
"384",119833,"REST2","RL",0.118902657935611,851.76
"385",120010,"REST1","LR",0.0685299280195798,861.12
"386",120010,"REST1","RL",0.0934136480037662,851.76
"387",120111,"REST1","LR",0.0782375506152801,861.84
"388",120111,"REST2","LR",0.0931754029494076,852.48
"389",120111,"REST1","RL",0.0725214410986188,864
"390",120111,"REST2","RL",0.0693687220278678,861.12
"391",120212,"REST1","LR",0.117640208265213,862.56
"392",120212,"REST2","LR",0.202313034514332,804.96
"393",120212,"REST1","RL",0.144666786062622,857.52
"394",120212,"REST2","RL",0.159264238646275,856.08
"395",120414,"REST1","LR",0.142515290851586,856.8
"396",120414,"REST2","LR",0.129654957540462,845.28
"397",120414,"REST1","RL",0.116723066905762,864
"398",120414,"REST2","RL",0.171090548715084,832.32
"399",120515,"REST1","LR",0.0805234286809346,858.24
"400",120515,"REST2","LR",0.120009127963457,844.56
"401",120515,"REST1","RL",0.0816084974363754,858.96
"402",120515,"REST2","RL",0.0966107957134332,853.92
"403",120717,"REST1","LR",0.2107146223186,825.84
"404",120717,"REST2","LR",0.168633594296284,843.12
"405",120717,"REST1","RL",0.172027059094617,827.28
"406",120717,"REST2","RL",0.167542083867869,841.68
"407",121315,"REST1","LR",0.761934144211921,576.72
"408",121315,"REST1","RL",0.351368199345187,714.24
"409",121416,"REST1","LR",0.168942838449188,860.4
"410",121416,"REST2","LR",0.0900434893196748,863.28
"411",121416,"REST1","RL",0.156177767922676,858.24
"412",121416,"REST2","RL",0.0711426632522264,864
"413",121618,"REST1","LR",0.0923340941147795,864
"414",121618,"REST2","LR",0.091305740698706,861.12
"415",121618,"REST1","RL",0.112270961383906,861.84
"416",121618,"REST2","RL",0.114742206033891,851.04
"417",121719,"REST1","LR",0.179023939756529,859.68
"418",121719,"REST1","RL",0.137148367527637,863.28
"419",121820,"REST1","RL",0.127564594164887,848.88
"420",121921,"REST1","LR",0.22445646994157,784.8
"421",121921,"REST2","LR",0.216316018648429,792.72
"422",121921,"REST1","RL",0.215026986918622,805.68
"423",121921,"REST2","RL",0.17057451848429,828.72
"424",122317,"REST1","LR",0.224921718916758,817.2
"425",122317,"REST2","LR",0.151452189199036,858.96
"426",122317,"REST1","RL",0.129586098251104,853.92
"427",122317,"REST2","RL",0.210148807025368,804.96
"428",122418,"REST1","LR",0.152406396581062,850.32
"429",122418,"REST2","LR",0.099927202787499,862.56
"430",122418,"REST1","RL",0.114878420090276,861.84
"431",122620,"REST1","LR",0.0662787963324755,864
"432",122620,"REST2","LR",0.0988135718696913,864
"433",122620,"REST1","RL",0.0830098909662088,861.84
"434",122620,"REST2","RL",0.119628328938136,859.68
"435",122822,"REST1","LR",0.0960127592926817,864
"436",122822,"REST2","LR",0.0906836515619335,857.52
"437",122822,"REST1","RL",0.102632746426171,851.76
"438",122822,"REST2","RL",0.0768556091576011,864
"439",123117,"REST1","LR",0.206137127079322,779.04
"440",123117,"REST2","LR",0.140943757358375,821.52
"441",123117,"REST1","RL",0.200181684183029,794.16
"442",123117,"REST2","RL",0.205975113011308,779.04
"443",123420,"REST1","LR",0.377800435335999,657.36
"444",123420,"REST2","LR",0.338901346182612,699.12
"445",123420,"REST1","RL",0.202698593658131,807.12
"446",123420,"REST2","RL",0.41314256684215,632.16
"447",123521,"REST1","LR",0.131940712126954,861.84
"448",123521,"REST2","LR",0.120958017055458,861.84
"449",123521,"REST1","RL",0.139023911428248,858.24
"450",123521,"REST2","RL",0.114413709148787,861.84
"451",123723,"REST1","LR",0.0909828980775637,859.68
"452",123723,"REST2","LR",0.126063447842193,856.08
"453",123723,"REST1","RL",0.0887821961327526,861.12
"454",123723,"REST2","RL",0.194367986338922,825.12
"455",123824,"REST1","LR",0.179989509253997,837.36
"456",123824,"REST2","LR",0.163061983594737,817.92
"457",123824,"REST1","RL",0.101475593228254,861.84
"458",123824,"REST2","RL",0.127669049746245,840.24
"459",123925,"REST1","LR",0.210478147215249,805.68
"460",123925,"REST2","LR",0.174227270092546,839.52
"461",123925,"REST1","RL",0.143490831790836,844.56
"462",123925,"REST2","RL",0.190438853957303,822.24
"463",124220,"REST1","LR",0.639475023975104,442.08
"464",124220,"REST2","LR",0.183643523189062,825.12
"465",124220,"REST1","RL",0.438124154548692,628.56
"466",124220,"REST2","RL",0.429046888462344,594
"467",124422,"REST1","LR",0.165816532008299,830.88
"468",124422,"REST2","LR",0.117130010680129,850.32
"469",124422,"REST1","RL",0.109875144842055,851.76
"470",124422,"REST2","RL",0.14575499238102,843.12
"471",124624,"REST1","LR",0.138876044187105,839.52
"472",124624,"REST2","LR",0.173165530314074,838.8
"473",124624,"REST1","RL",0.117965660112165,844.56
"474",124624,"REST2","RL",0.128810469094071,857.52
"475",124826,"REST1","LR",0.073317660908315,864
"476",124826,"REST2","LR",0.0895850647751171,864
"477",124826,"REST1","RL",0.0780656830747223,864
"478",124826,"REST2","RL",0.0833766037074228,864
"479",125222,"REST1","LR",0.133251869252055,860.4
"480",125222,"REST2","LR",0.108183976585272,857.52
"481",125222,"REST1","RL",0.118212603358809,859.68
"482",125222,"REST2","RL",0.144079155107991,850.32
"483",125424,"REST1","LR",0.156949181550733,820.8
"484",125424,"REST2","LR",0.0792699467637643,864
"485",125424,"REST1","RL",0.265398667462347,735.84
"486",125424,"REST2","RL",0.0776145912626991,864
"487",125525,"REST1","LR",0.196166138067555,829.44
"488",125525,"REST2","LR",0.206365307931702,822.24
"489",125525,"REST1","RL",0.354553787227675,705.6
"490",125525,"REST2","RL",0.18427668176132,832.32
"491",126325,"REST1","LR",0.163809726676482,851.76
"492",126325,"REST2","LR",0.151234105140967,844.56
"493",126325,"REST1","RL",0.134025678701513,853.92
"494",126325,"REST2","RL",0.158645408548992,828
"495",126426,"REST1","LR",0.149452834681257,856.8
"496",126426,"REST2","LR",0.120003002025479,863.28
"497",126426,"REST1","RL",0.128846207315796,864
